date_time,search_count,job_id,job_title,company,location,update_time,applicants,job_time,job_level,job_type,company_size,company_industry,job_details
17Jun2024-13:45:49,184,3914439627,Data Engineer,Koch Industries,"Bengaluru, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas,"Data Engineering, Data Science, Data Warehousing, Databases, and Extract, Transform, Load (ETL)"
17Jun2024-13:46:05,184,3936999184,Data Analysis,NR Consulting,"Bengaluru, Karnataka, India",2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"1,001-5,000 employees",IT Services and IT Consulting,"Analytical Skills, Business Requirements, Communication, Data Analysis, Data Analytics, Data Science, Data Visualization, Databases, Problem Solving, and Statistics"
17Jun2024-13:46:20,184,3927481218,"Data Analyst, IN EasyShip",myGwork - LGBTQ+ Business Community,"Bengaluru, Karnataka, India",3 weeks ago,Over 100 applicants,,,Full-time Entry level,11-50 employees,"Technology, Information and Internet","Analytical Skills, Analytics, Data Analytics, Data Mining, Data Science, Data Visualization, IBM SPSS, Pattern Recognition, SAS (Software), and SQL"
17Jun2024-13:46:36,184,3940905302,AI Educator,igebra.ai,"Bengaluru, Karnataka, India",1 week ago,40 applicants,,,On-site Full-time,51-200 employees,,"Artificial Intelligence (AI), Attention to Detail, Communication, Creative Content Creation, Education, Initiation, Job Skills, Presentation Skills, Problem Solving, and Professional Skills"
17Jun2024-13:46:52,184,3931031046,S&C Global Network - AI - Retail Analytics - Analyst,Accenture in India,"Bengaluru, Karnataka, India",Reposted 3 weeks ago,37 applicants,,,On-site Full-time Entry level,"10,001+ employees",IT Services and IT Consulting,"Business Insights, Data Analytics, Data Lakes, Extract, Transform, Load (ETL), Insight Generation, Optimization Models, PySpark, Retail Sales Analysis, Statistical Modeling, and Unstructured Data"
17Jun2024-13:47:07,184,3926664243,Data Visualization Analyst - Tableau/Power BI,D Square Consulting Services Pvt Ltd,"Bengaluru, Karnataka, India",3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,11-50 employees,Software Development,"Analytics, Communication, Dashboards, Data Analytics, Data Science, Data Visualization, Microsoft Power BI, Organization Skills, Tableau, and Visualization"
17Jun2024-13:47:53,184,3934553858,Machine Learning Engineer - NLP,,,,,,,Full-time Entry level,,,
17Jun2024-13:48:24,184,3939039329,3D Modeling,,,,,,,On-site Full-time,"Skills: 3D Modeling, CATIA, +2 more",,"3D Modeling, AutoCAD, CATIA, and SOLIDWORKS"
17Jun2024-13:48:39,184,3941417174,Data Management Engineer,Koch Industries,"Bengaluru, Karnataka, India",1 week ago,33 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas,"Data Engineering, Data Science, Data Warehousing, Databases, and Extract, Transform, Load (ETL)"
17Jun2024-13:48:55,184,3933168426,Performance Analyst,FERMÀT,"Bengaluru, Karnataka, India",3 weeks ago,28 applicants,,,On-site Full-time Entry level,11-50 employees,"Technology, Information and Internet","Analytical Skills, Analytics, Attention to Detail, Communication, Contract Research Organization (CRO), Data Analysis, Data Analytics, E-Commerce, Facebook Ads, and Performance Analysis"
17Jun2024-13:49:11,184,3939038110,Supply Chain Reporting Data Analyts,Alcon,"Bengaluru, Karnataka, India",1 week ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Medical Equipment Manufacturing,"Alteryx, Athena Health, Dashboards, Data Warehousing, SAP Business Warehouse (SAP BW), SAP Netweaver, Snowflake, Snowflake Cloud, Statutory Accounting Principles (SAP), and Tableau"
17Jun2024-13:49:56,184,3938240484,Data Engineer,,,,,,,On-site Full-time Entry level,,,
17Jun2024-13:50:42,184,3938238935,Data Engineer,,,,,,,On-site Full-time Entry level,,,
17Jun2024-13:50:58,184,3815869432,Cloud Data Engineer,Fractal,"Bengaluru, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"1,001-5,000 employees",Business Consulting and Services,"Data Engineering, Data Mining, Data Warehousing, Extract, Transform, Load (ETL), Google Cloud Platform (GCP), PL/SQL, Programming Languages, Python (Programming Language), SQL, and Scripting"
